naziv_usluge,maloprodajna_cijena,poseban_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena
"Klasična masaža - Parcijalna masaža – 30 min",30.00,NE,,30.00
"Klasična masaža - Masaža cijelog tijela – 60 min",50.00,NE,,50.00
"Sportski oporavak - Parcijalna masaža – 30 min",40.00,NE,,40.00
"Sportski oporavak - Masaža cijelog tijela – 60 min",60.00,NE,,60.00
"Opuštajuća masaža - Parcijalna masaža – 30 min",30.00,NE,,30.00
"Opuštajuća masaža - Masaža cijelog tijela – 60 min",50.00,NE,,50.00
"Aromaterapijski doživljaj - Parcijalna masaža – 30 min",30.00,NE,,30.00
"Aromaterapijski doživljaj - Masaža cijelog tijela – 60 min",50.00,NE,,50.00
"Čokoladna masaža - Parcijalna masaža - 30 min",35.00,NE,,35.00
"Čokoladna masaža - Masaža cijelog tijela - 60 min",55.00,NE,,55.00
"Renew & Glow masaža - Parcijalna masaža – 45 min",45.00,NE,,45.00
"Renew & Glow masaža - Masaža cijelog tijela – 90 min",70.00,NE,,70.00
"Mabea Face Sculpt masaža - 40 min",35.00,NE,,35.00
"Mabea Face Sculpt masaža - Paket od 5 dolazaka",150.00,NE,,150.00
"Mabea Face Sculpt masaža - Paket od 10 dolazaka",280.00,NE,,280.00
"Limfna drenaža (Presoterapija) - 30 min",35.00,NE,,35.00
"Limfna drenaža (Presoterapija) - 45 min",50.00,NE,,50.00
"Limfna drenaža (Presoterapija) - 60 min",60.00,NE,,60.00
"Elektromišićna stimulacija (EMS) - 30 min",35.00,NE,,35.00
"Elektromišićna stimulacija (EMS) - 45 min",50.00,NE,,50.00
"Elektromišićna stimulacija (EMS) - 60 min",60.00,NE,,60.00
"Mabea Body Sculpt tretman - 60 min",55.00,NE,,55.00
"Mabea Body Sculpt tretman - Paket od 6 dolazaka",300.00,NE,,300.00
"Mabea Body Sculpt tretman - Paket od 10 dolazaka",440.00,NE,,440.00
"5 Klasičnih masaža - 30 min",120.00,NE,,120.00
"5 Klasičnih masaža - 60 min",200.00,NE,,200.00
"5 Aromaterapijskih iskustvava - 30 min",120.00,NE,,120.00
"5 Aromaterapijskih iskustvava - 60 min",200.00,NE,,200.00
"5 Sportskih oporavaka - 30 min",160.00,NE,,160.00
"5 Sportskih oporavaka - 60 min",240.00,NE,,240.00
"5 Opuštajućih masaža - 30 min",120.00,NE,,120.00
"5 Opuštajućih masaža - 60 min",200.00,NE,,200.00
"5 Renew & Glow masaža - 40 min",180.00,NE,,180.00
"5 Renew & Glow masaža - 80 min",280.00,NE,,280.00
